"","Date","male","female","nk"
"291",20110526,1,0,0
"292",20110527,1,0,0
"293",20110528,1,0,0
"294",20110601,0,1,0
"295",20110601,1,0,0
"296",20110601,1,0,0
"297",20110602,0,1,0
"298",20110602,1,0,0
"299",20110602,1,0,0
"300",20110603,1,0,0
"301",20110603,1,0,0
"302",20110603,1,0,0
"303",20110603,0,1,0
"304",20110604,0,1,0
"305",20110604,1,0,0
"306",20110604,1,0,0
"307",20110605,1,0,0
"308",20110606,1,0,0
"309",20110606,0,1,0
"310",20110608,0,1,0
"311",20110608,1,0,0
"312",20110610,0,1,0
"313",20110611,0,1,0
"314",20110612,1,0,0
"315",20110614,1,0,0
"316",20110616,1,0,0
"317",20110616,1,0,0
"318",20110618,1,0,0
"319",20110623,0,1,0
"320",20110624,1,0,0
"321",20110627,1,0,0
"322",20110627,1,0,0
"323",20110628,1,0,0
"324",20110628,1,0,0
"325",20110629,1,0,0
"326",20110629,1,0,0
"327",20110630,0,1,0
"328",20110630,1,0,0
"329",20110630,1,0,0
"330",20110702,0,1,0
"331",20110703,1,0,0
"332",20110703,0,1,0
"333",20110704,0,1,0
"334",20110704,0,1,0
"335",20110705,1,0,0
"336",20110705,1,0,0
"337",20110706,1,0,0
"338",20110706,1,0,0
"339",20110707,1,0,0
"340",20110707,1,0,0
"341",20110707,1,0,0
"342",20110707,1,0,0
"343",20110708,0,1,0
"344",20110708,0,1,0
"345",20110709,1,0,0
"346",20110710,1,0,0
"347",20110710,1,0,0
"348",20110711,1,0,0
"349",20110711,1,0,0
"350",20110711,0,1,0
"351",20110712,1,0,0
"352",20110713,1,0,0
"353",20110713,1,0,0
"354",20110713,1,0,0
"355",20110716,1,0,0
"356",20110718,1,0,0
"357",20110720,1,0,0
"358",20110725,1,0,0
"359",20110726,1,0,0
"360",20110728,1,0,0
"361",20110728,1,0,0
"362",20110729,1,0,0
"363",20110801,0,1,0
"364",20110801,1,0,0
"365",20110802,1,0,0
"366",20110802,0,1,0
"367",20110803,1,0,0
"368",20110803,0,1,0
"369",20110803,1,0,0
"370",20110803,1,0,0
"371",20110804,1,0,0
"372",20110804,1,0,0
"373",20110805,0,1,0
"374",20110806,1,0,0
"375",20110808,1,0,0
"376",20110808,0,1,0
"377",20110808,0,1,0
"378",20110811,1,0,0
"379",20110811,1,0,0
"380",20110812,1,0,0
"381",20110812,0,1,0
"382",20110814,1,0,0
"383",20110815,1,0,0
"384",20110815,0,1,0
"385",20110817,0,1,0
"386",20110818,1,0,0
"387",20110819,1,0,0
"388",20110822,1,0,0
"389",20110822,1,0,0
"390",20110823,0,1,0
"391",20110823,0,1,0
"392",20110823,1,0,0
"393",20110823,1,0,0
"394",20110824,1,0,0
"395",20110824,1,0,0
"396",20110825,0,1,0
"397",20110827,1,0,0
"398",20110828,1,0,0
"399",20110829,1,0,0
"400",20110830,1,0,0
"401",20110831,0,1,0
"402",20110831,1,0,0
"403",20110901,1,0,0
"404",20110902,1,0,0
"405",20110903,1,0,0
"406",20110903,0,1,0
"407",20110903,1,0,0
"408",20110904,1,0,0
"409",20110904,0,1,0
"410",20110904,1,0,0
"411",20110905,1,0,0
"412",20110905,0,1,0
"413",20110906,1,0,0
"414",20110906,0,1,0
"415",20110908,1,0,0
"416",20110908,1,0,0
"417",20110909,0,1,0
"418",20110910,1,0,0
"419",20110911,1,0,0
"420",20110912,1,0,0
"421",20110912,1,0,0
"422",20110912,0,1,0
"423",20110912,0,1,0
"424",20110913,1,0,0
"425",20110914,1,0,0
"426",20110916,0,1,0
"427",20110917,0,1,0
"428",20110917,1,0,0
"429",20110917,1,0,0
"430",20110918,1,0,0
"431",20110918,1,0,0
"432",20110918,1,0,0
"433",20110919,1,0,0
"434",20110920,1,0,0
"435",20110921,0,1,0
"436",20110922,1,0,0
"437",20110922,0,1,0
"438",20110923,0,1,0
"439",20110923,1,0,0
"440",20110926,1,0,0
"441",20110929,1,0,0
"442",20110930,1,0,0
"443",20111004,1,0,0
"444",20111009,1,0,0
"445",20111010,1,0,0
"446",20111010,1,0,0
"447",20111011,0,1,0
"448",20111012,1,0,0
"449",20111012,1,0,0
"450",20111014,1,0,0
"451",20111014,1,0,0
"452",20111014,1,0,0
"453",20111014,0,1,0
"454",20111014,0,1,0
"455",20111014,1,0,0
"456",20111015,1,0,0
"457",20111015,1,0,0
"458",20111015,0,1,0
"459",20111015,0,1,0
"460",20111016,1,0,0
"461",20111017,0,1,0
"462",20111019,1,0,0
"463",20111019,1,0,0
"464",20111021,1,0,0
"465",20111021,1,0,0
"466",20111022,1,0,0
"467",20111023,0,1,0
"468",20111025,1,0,0
"469",20111026,1,0,0
"470",20111026,0,1,0
"471",20111026,0,1,0
"472",20111026,1,0,0
"473",20111027,0,1,0
"474",20111028,1,0,0
"475",20111029,1,0,0
"476",20111029,1,0,0
"477",20111030,1,0,0
"478",20111030,1,0,0
"479",20111030,1,0,0
"480",20111101,1,0,0
"481",20111101,0,1,0
"482",20111101,1,0,0
"483",20111102,1,0,0
"484",20111102,1,0,0
"485",20111103,1,0,0
"486",20111103,1,0,0
"487",20111103,0,1,0
"488",20111104,1,0,0
"489",20111104,1,0,0
"490",20111105,1,0,0
"491",20111105,0,1,0
"492",20111107,1,0,0
"493",20111107,1,0,0
"494",20111107,1,0,0
"495",20111109,1,0,0
"496",20111109,1,0,0
"497",20111109,1,0,0
"498",20111109,0,1,0
"499",20111109,0,1,0
"500",20111110,1,0,0
"501",20111111,0,1,0
"502",20111111,1,0,0
"503",20111112,1,0,0
"504",20111113,0,1,0
"505",20111113,1,0,0
"506",20111113,0,1,0
"507",20111116,1,0,0
"508",20111117,1,0,0
"509",20111118,1,0,0
"510",20111119,1,0,0
"511",20111119,0,1,0
"512",20111120,1,0,0
"513",20111120,0,1,0
"514",20111120,1,0,0
"515",20111121,0,1,0
"516",20111121,0,1,0
"517",20111121,1,0,0
"518",20111122,1,0,0
"519",20111123,0,1,0
"520",20111123,0,1,0
"521",20111123,1,0,0
"522",20111125,1,0,0
"523",20111126,0,1,0
"524",20111126,1,0,0
"525",20111127,1,0,0
"526",20111128,1,0,0
"527",20111128,1,0,0
"528",20111129,1,0,0
"529",20111129,1,0,0
"530",20111130,1,0,0
"531",20111201,1,0,0
"532",20111201,0,1,0
"533",20111201,1,0,0
"534",20111202,1,0,0
"535",20111204,1,0,0
"536",20111205,1,0,0
"537",20111205,0,1,0
"538",20111206,1,0,0
"539",20111207,1,0,0
"540",20111208,1,0,0
"541",20111208,1,0,0
"542",20111209,0,1,0
"543",20111209,0,1,0
"544",20111210,1,0,0
"545",20111210,1,0,0
"546",20111210,1,0,0
"547",20111211,0,1,0
"548",20111212,1,0,0
"549",20111212,0,1,0
"550",20111212,1,0,0
"551",20111213,0,1,0
"552",20111215,1,0,0
"553",20111215,1,0,0
"554",20111216,1,0,0
"555",20111216,1,0,0
"556",20111217,1,0,0
"557",20111218,1,0,0
"558",20111218,1,0,0
"559",20111219,1,0,0
"560",20111219,1,0,0
"561",20111220,1,0,0
"562",20111222,0,1,0
"563",20111223,1,0,0
"564",20111223,0,1,0
"565",20111224,1,0,0
"566",20111225,0,1,0
"567",20111225,1,0,0
"568",20111225,0,1,0
"569",20111227,1,0,0
"570",20110216,0,1,0
"571",20111029,0,1,0
"572",20111011,1,0,0
"573",20110205,0,1,0
"574",20110207,0,1,0
"575",20111118,0,1,0
"576",20110430,1,0,0
"577",20110122,1,0,0
"578",20111027,0,1,0
"579",20110526,0,1,0
"580",20110702,0,1,0
"581",20111225,1,0,0
"582",20110626,1,0,0
"583",20110827,1,0,0
"584",20110609,1,0,0
"585",20111026,1,0,0
"586",20110710,1,0,0
"587",20111201,1,0,0
"588",20111001,1,0,0
"589",20110909,0,1,0
"590",20110206,0,1,0
"591",20110715,1,0,0
"592",20110702,0,1,0
"593",20110115,1,0,0
"594",20110425,1,0,0
"595",20111225,0,1,0
"596",20110409,1,0,0
"597",20111219,1,0,0
"598",20110716,1,0,0
"599",20110110,1,0,0
"600",20111111,0,1,0
"601",20111015,1,0,0
"602",20110307,1,0,0
"603",20110215,1,0,0
"604",20111216,1,0,0
"605",20110916,1,0,0
"606",20110824,0,1,0
"607",20111205,1,0,0
"608",20110819,1,0,0
"609",20110427,0,1,0
"610",20110708,1,0,0
"611",20110314,1,0,0
"612",20110521,1,0,0
"613",20110413,1,0,0
"614",20110317,1,0,0
"615",20110814,1,0,0
"616",20110722,1,0,0
"617",20110729,1,0,0
"618",20110410,0,1,0
"619",20110715,1,0,0
"620",20110210,1,0,0
"621",20110711,1,0,0
"622",20111003,1,0,0
"623",20111008,1,0,0
"624",20110212,1,0,0
"625",20110812,1,0,0
"626",20110724,0,1,0
"627",20111111,0,1,0
"628",20110722,0,1,0
"629",20110612,0,1,0
"630",20110213,1,0,0
"631",20110828,0,1,0
"632",20110323,1,0,0
"633",20110419,1,0,0
"634",20110501,0,1,0
"635",20110918,1,0,0
"636",20110202,0,1,0
"637",20110829,0,1,0
"638",20110118,0,1,0
"639",20111209,0,1,0
"640",20111129,1,0,0
"641",20111229,1,0,0
"642",20110413,0,1,0
"643",20110813,0,1,0
"644",20110306,1,0,0
"645",20110111,1,0,0
"646",20110708,1,0,0
"647",20110814,1,0,0
"648",20111228,1,0,0
"649",20110203,1,0,0
"650",20110619,1,0,0
"651",20110826,1,0,0
"652",20110627,1,0,0
"653",20110317,1,0,0
"654",20110818,1,0,0
"655",20110224,1,0,0
"656",20111229,0,1,0
"657",20110715,0,1,0
"658",20111214,1,0,0
"659",20111219,1,0,0
"660",20110227,1,0,0
"661",20111202,1,0,0
"662",20110404,1,0,0
"663",20110605,1,0,0
"664",20110803,1,0,0
"665",20110618,1,0,0
"666",20111031,1,0,0
"667",20110812,1,0,0
"668",20111217,1,0,0
"669",20111204,1,0,0
"670",20110802,1,0,0
"671",20110411,1,0,0
"672",20110318,1,0,0
"673",20110121,1,0,0
"674",20110322,1,0,0
"675",20111220,1,0,0
"676",20110212,1,0,0
"677",20111212,1,0,0
"678",20110318,1,0,0
"679",20110610,1,0,0
"680",20111018,1,0,0
"681",20111212,1,0,0
"682",20110601,1,0,0
"683",20110402,1,0,0
"684",20110307,1,0,0
"685",20110701,1,0,0
"686",20111202,1,0,0
"687",20110413,0,1,0
"688",20110514,1,0,0
"689",20110805,0,1,0
"690",20111220,1,0,0
"691",20110801,1,0,0
"692",20110710,0,1,0
"693",20110808,0,1,0
"694",20110122,1,0,0
"695",20111127,1,0,0
"696",20110330,1,0,0
"697",20110604,1,0,0
"698",20111211,1,0,0
"699",20110302,1,0,0
"700",20110922,1,0,0
"701",20110218,1,0,0
"702",20110301,0,1,0
"703",20110715,0,1,0
"704",20110225,0,1,0
"705",20110826,0,1,0
"706",20110630,0,1,0
"707",20111202,0,1,0
"708",20111212,1,0,0
"709",20111023,1,0,0
"710",20111009,1,0,0
"711",20111102,0,1,0
"712",20110914,1,0,0
"713",20110826,0,1,0
"714",20110529,0,1,0
"715",20111003,1,0,0
"716",20111022,1,0,0
"717",20110717,0,1,0
"718",20110822,1,0,0
"719",20110118,1,0,0
"720",20111210,1,0,0
"721",20110220,1,0,0
"722",20110508,1,0,0
"723",20110713,1,0,0
"724",20110307,1,0,0
"725",20110512,1,0,0
"726",20110630,1,0,0
"727",20110509,1,0,0
"728",20110526,1,0,0
"729",20110205,1,0,0
"730",20111105,1,0,0
"731",20110915,1,0,0
"732",20110422,1,0,0
"733",20110203,1,0,0
"734",20110517,0,1,0
"735",20110829,0,1,0
"736",20110225,1,0,0
"737",20110320,1,0,0
"738",20110519,0,1,0
"739",20110218,1,0,0
"740",20110718,1,0,0
"741",20111022,1,0,0
"742",20110824,1,0,0
"743",20110516,1,0,0
"744",20111128,0,1,0
"745",20110830,1,0,0
"746",20110524,1,0,0
"747",20110725,1,0,0
"748",20110420,1,0,0
"749",20110926,1,0,0
"750",20110922,1,0,0
"751",20110720,1,0,0
"752",20110423,0,1,0
"753",20111214,0,1,0
"754",20110228,1,0,0
"755",20110908,1,0,0
"756",20110902,1,0,0
"757",20110207,1,0,0
"758",20111218,0,1,0
"759",20110727,1,0,0
"760",20110625,1,0,0
"761",20111011,1,0,0
"762",20111107,1,0,0
"763",20110608,1,0,0
"764",20110607,1,0,0
"765",20110624,1,0,0
"766",20111112,0,1,0
"767",20111206,0,1,0
"768",20111129,1,0,0
"769",20111013,0,1,0
"770",20110801,1,0,0
"771",20110704,1,0,0
"772",20110919,1,0,0
"773",20110707,0,1,0
"774",20111009,0,1,0
"775",20110512,0,1,0
"776",20111212,0,1,0
"777",20110526,0,1,0
"778",20110730,1,0,0
"779",20110512,1,0,0
"780",20110917,1,0,0
"781",20110320,1,0,0
"782",20110831,1,0,0
"783",20110201,1,0,0
"784",20110404,1,0,0
"785",20110621,1,0,0
"786",20110208,1,0,0
"787",20110705,0,1,0
"788",20110327,1,0,0
"789",20110910,1,0,0
"790",20110904,1,0,0
"791",20110122,1,0,0
"792",20110706,0,1,0
"793",20110817,1,0,0
"794",20110616,1,0,0
"795",20111023,1,0,0
"796",20111129,1,0,0
"797",20111225,1,0,0
"798",20111028,1,0,0
"799",20110610,1,0,0
"800",20110102,1,0,0
"801",20110413,1,0,0
"802",20110612,1,0,0
"803",20110122,1,0,0
"804",20110626,1,0,0
"805",20110830,0,1,0
"806",20111125,1,0,0
"807",20110729,1,0,0
"808",20111117,1,0,0
"809",20110710,0,1,0
"810",20110421,1,0,0
"811",20111207,0,1,0
"812",20111214,1,0,0
"813",20110501,1,0,0
"814",20110107,1,0,0
"815",20111031,1,0,0
"816",20110617,1,0,0
"817",20110705,1,0,0
"818",20111016,1,0,0
"819",20111209,1,0,0
"820",20110618,0,1,0
"821",20111227,0,1,0
"822",20110203,0,1,0
"823",20110503,0,1,0
"824",20110323,0,1,0
"825",20110731,0,1,0
"826",20110429,0,1,0
"827",20110203,0,1,0
"828",20111218,1,0,0
"829",20110501,1,0,0
"830",20110618,0,1,0
"831",20110808,0,1,0
"832",20110307,1,0,0
"833",20110420,0,1,0
"834",20110401,1,0,0
"835",20111126,1,0,0
"836",20110601,1,0,0
"837",20110925,1,0,0
"838",20110118,1,0,0
"839",20110202,1,0,0
"840",20110511,1,0,0
"841",20110213,1,0,0
"842",20110830,1,0,0
"843",20110703,1,0,0
"844",20110418,1,0,0
"845",20110815,1,0,0
"846",20110715,1,0,0
"847",20110127,0,1,0
"848",20110823,1,0,0
"849",20110512,0,1,0
"850",20110713,1,0,0
"851",20110402,1,0,0
"852",20110423,1,0,0
"853",20111030,1,0,0
"854",20110218,0,1,0
"855",20111125,1,0,0
"856",20110702,0,1,0
"857",20110105,1,0,0
"858",20111024,0,1,0
"859",20110630,0,1,0
"860",20110817,0,1,0
"861",20110413,0,1,0
"862",20111106,1,0,0
"863",20111228,1,0,0
"864",20111228,0,1,0
"865",20110708,1,0,0
"866",20110107,1,0,0
"867",20111110,1,0,0
"868",20110503,0,1,0
"869",20110221,0,1,0
"870",20110115,0,1,0
"871",20110403,1,0,0
"872",20110603,1,0,0
"873",20110415,1,0,0
"874",20110626,1,0,0
"875",20110211,1,0,0
"876",20111008,0,1,0
"877",20110725,0,1,0
"878",20111105,1,0,0
"879",20111110,1,0,0
"880",20110401,0,1,0
"881",20110221,1,0,0
"882",20111210,1,0,0
"883",20110403,0,1,0
"884",20110810,0,1,0
"885",20110801,0,1,0
"886",20110402,0,1,0
"887",20110320,1,0,0
"888",20110101,0,1,0
"889",20111018,1,0,0
"890",20110204,0,1,0
"891",20111028,0,1,0
"892",20110607,1,0,0
"893",20110607,0,1,0
"894",20110302,1,0,0
"895",20111128,1,0,0
"896",20111210,1,0,0
"897",20110205,0,1,0
"898",20111204,0,1,0
"899",20110816,1,0,0
"900",20110519,0,1,0
"901",20111020,0,1,0
"902",20110521,1,0,0
"903",20111126,1,0,0
"904",20110917,1,0,0
"905",20111028,1,0,0
"906",20111103,1,0,0
"907",20110130,1,0,0
"908",20111011,0,1,0
"909",20110817,1,0,0
"910",20110215,1,0,0
"911",20110806,0,1,0
"912",20110220,1,0,0
"913",20111111,0,1,0
"914",20110606,1,0,0
"915",20110919,1,0,0
"916",20110107,1,0,0
"917",20110502,1,0,0
"918",20110627,1,0,0
"919",20110108,1,0,0
"920",20111211,1,0,0
"921",20110112,1,0,0
"922",20111014,0,1,0
"923",20110819,0,1,0
"924",20110315,1,0,0
"925",20111121,0,1,0
"926",20110323,1,0,0
"927",20110805,0,1,0
"928",20110407,0,1,0
"929",20110608,1,0,0
"930",20110108,0,1,0
"931",20111201,0,1,0
"932",20110808,1,0,0
"933",20110103,1,0,0
"934",20110306,1,0,0
"935",20110516,1,0,0
"936",20110225,1,0,0
"937",20110317,1,0,0
"938",20110130,1,0,0
"939",20110816,1,0,0
"940",20110911,1,0,0
"941",20110913,0,1,0
"942",20110424,1,0,0
"943",20110921,1,0,0
"944",20111111,0,1,0
"945",20110722,1,0,0
"946",20110503,0,1,0
"947",20110702,0,1,0
"948",20110614,1,0,0
"949",20111020,1,0,0
"950",20111101,0,1,0
"951",20110104,0,1,0
"952",20111012,1,0,0
"953",20111019,1,0,0
"954",20110818,1,0,0
"955",20110506,0,1,0
"956",20110103,1,0,0
"957",20110415,0,1,0
"958",20110321,1,0,0
"959",20110729,0,1,0
"960",20111101,1,0,0
"961",20110615,1,0,0
"962",20110102,0,1,0
"963",20110907,1,0,0
"964",20110929,1,0,0
"965",20111216,0,1,0
"966",20110105,1,0,0
"967",20110318,0,1,0
"968",20110304,0,1,0
"969",20110217,0,1,0
"970",20110103,0,1,0
"971",20110918,0,1,0
"972",20110314,1,0,0
"973",20111219,1,0,0
"974",20110315,1,0,0
"975",20111209,0,1,0
"976",20111019,1,0,0
"977",20110119,1,0,0
"978",20110701,1,0,0
"979",20110827,1,0,0
"980",20110416,0,1,0
"981",20110117,0,1,0
"982",20110126,1,0,0
"983",20110423,1,0,0
"984",20110420,0,1,0
"985",20110804,1,0,0
"986",20111226,1,0,0
"987",20110306,1,0,0
"988",20110317,0,1,0
"989",20110620,1,0,0
"990",20111115,1,0,0
"991",20110505,1,0,0
"992",20110311,0,1,0
"993",20110101,1,0,0
"994",20110603,1,0,0
"995",20111030,1,0,0
"996",20111024,1,0,0
"997",20110824,0,1,0
"998",20111103,1,0,0
"999",20110522,1,0,0
"1000",20110920,1,0,0
"1001",20111209,1,0,0
"1002",20110901,1,0,0
"1003",20110724,0,1,0
"1004",20110404,1,0,0
"1005",20111109,0,1,0
"1006",20110307,0,1,0
"1007",20110808,0,1,0
"1008",20110322,0,1,0
"1009",20110915,0,1,0
"1010",20110319,0,1,0
"1011",20111210,0,1,0
"1012",20110523,1,0,0
"1013",20111027,0,1,0
"1014",20110807,1,0,0
"1015",20110103,1,0,0
"1016",20110423,1,0,0
"1017",20110227,1,0,0
"1018",20111229,0,1,0
"1019",20111021,1,0,0
"1020",20110306,1,0,0
"1021",20110527,0,1,0
"1022",20111019,1,0,0
"1023",20111204,1,0,0
"1024",20111214,1,0,0
"1025",20110625,1,0,0
"1026",20110219,1,0,0
"1027",20111108,1,0,0
"1028",20110705,1,0,0
"1029",20110703,1,0,0
"1030",20111201,1,0,0
"1031",20110501,1,0,0
"1032",20111105,1,0,0
"1033",20110722,1,0,0
"1034",20110808,1,0,0
"1035",20110421,0,1,0
"1036",20110721,1,0,0
"1037",20110804,1,0,0
"1038",20110905,0,1,0
"1039",20110208,1,0,0
"1040",20110528,1,0,0
"1041",20110227,1,0,0
"1042",20111202,1,0,0
"1043",20110526,0,1,0
"1044",20110315,1,0,0
"1045",20110504,0,1,0
"1046",20110618,1,0,0
"1047",20111213,1,0,0
"1048",20110203,1,0,0
"1049",20110321,1,0,0
"1050",20111220,0,1,0
"1051",20111229,1,0,0
"1052",20111107,1,0,0
"1053",20110703,0,1,0
"1054",20110118,1,0,0
"1055",20110221,1,0,0
"1056",20110708,1,0,0
"1057",20110429,1,0,0
"1058",20110107,0,1,0
"1059",20110809,1,0,0
"1060",20111014,1,0,0
"1061",20110407,0,1,0
"1062",20111103,0,1,0
"1063",20111030,0,1,0
"1064",20110514,0,1,0
"1065",20111108,1,0,0
"1066",20110915,1,0,0
"1067",20110509,1,0,0
"1068",20110228,1,0,0
"1069",20110205,1,0,0
